feature,importance,display_name
G_demand,33.25,아연도강판 수요량
auto_prod_pct,18.75,자동차 생산량 증감률
construction_order_amt_lag6,13.75,건설수주액(6개월 전)
construction_order_amt,13.0,건설수주액
CR_prod_lag2,12.75,냉연강판 수요량(2개월 전)
target_month,9.0,예측 대상 월
auto_domestic_ship_lag2,9.0,자동차 내수 출하량(2개월 전)
steel_operating_rate_lag1,8.25,철광 제조업 가동률(1개월)
usdkrw_avg_lag2,5.75,환율(2개월 전)
G_prod,5.5,아연도강판 생산량
CR_demand,4.75,냉연강판 수요량
G_inv,4.0,아연도강판 재고량
G_demand_ma3,3.25,아연도강판 3개월 평균 수요량
auto_domestic_ship_lag1,1.75,자동차 내수 출하량(1개월 전)
G_demand_std3,1.25,아연도강판 수요변동성
